id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,price_per_m2,distance_km,distance_bucket
2014-537385,2014-10-14,1,Vente,105000.0,5.0,B,ALL DU CHATEAU,0005,51240.0,51409,Nuisement-sur-Coole,51,,,514090000D0218,,,,,,,,,,,,,0,1.0,Maison,132.0,7.0,S,sols,,,120.0,4.30886,48.878608,795.4545454545455,46.4800802684091,30-50 km
2014-537405,2014-10-21,1,Vente,190000.0,5128.0,,CHE DES PLISSONS,0191,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000CC0172,,,,,,,,,,,,,0,1.0,Maison,90.0,6.0,S,sols,,,331.0,3.998698,48.903098,2111.1111111111113,32.88672762312257,30-50 km
2014-537436,2014-10-20,1,Vente,400000.0,5069.0,,LE CHATEAU,B013,51130.0,51627,Villeneuve-Renneville-Chevigny,51,,,516270000E0152,,,,,,,,,,,,,0,1.0,Maison,400.0,11.0,S,sols,,,7560.0,4.081746,48.924324,1000.0,38.0891692063369,30-50 km
2014-537448,2014-11-12,1,Vente,215000.0,17.0,,RUE DE LA FOSSE LE LOUP,0097,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000CB0146,,,,,,,,,,,,,0,1.0,Maison,128.0,4.0,VI,vignes,VAOC,Vins d'appellation d'origine contrôlée,1004.0,4.001864,48.901454,1679.6875,32.837042422142716,30-50 km
2014-537448,2014-11-12,1,Vente,215000.0,17.0,,RUE DE LA FOSSE LE LOUP,0097,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000CB0146,,,,,,,,,,,,,0,1.0,Maison,128.0,4.0,S,sols,,,318.0,4.001864,48.901454,1679.6875,32.837042422142716,30-50 km
2014-537469,2014-11-14,1,Vente,230000.0,10.0,,RUE SAINT FAL,0056,51130.0,51158,Val-des-Marais,51,,,511580210A0391,,,,,,,,,,,,,0,1.0,Maison,273.0,6.0,J,jardins,,,605.0,3.960809,48.820534,842.4908424908425,23.560482926726387,20-30 km
2014-537469,2014-11-14,1,Vente,230000.0,10.0,,RUE SAINT FAL,0056,51130.0,51158,Val-des-Marais,51,,,511580210A0391,,,,,,,,,,,,,0,1.0,Maison,75.0,3.0,J,jardins,,,186.0,3.960809,48.820534,3066.6666666666665,23.560482926726387,20-30 km
2014-537469,2014-11-14,1,Vente,230000.0,10.0,,RUE SAINT FAL,0056,51130.0,51158,Val-des-Marais,51,,,511580210A0391,,,,,,,,,,,,,0,1.0,Maison,273.0,6.0,S,sols,,,1554.0,3.960809,48.820534,842.4908424908425,23.560482926726387,20-30 km
2014-537469,2014-11-14,1,Vente,230000.0,10.0,,RUE SAINT FAL,0056,51130.0,51158,Val-des-Marais,51,,,511580210A0391,,,,,,,,,,,,,0,1.0,Maison,75.0,3.0,J,jardins,,,605.0,3.960809,48.820534,3066.6666666666665,23.560482926726387,20-30 km
2014-537469,2014-11-14,1,Vente,230000.0,10.0,,RUE SAINT FAL,0056,51130.0,51158,Val-des-Marais,51,,,511580210A0391,,,,,,,,,,,,,0,1.0,Maison,75.0,3.0,S,sols,,,1554.0,3.960809,48.820534,3066.6666666666665,23.560482926726387,20-30 km
